--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
false,false,true,false,false,true,true,false,true,true,true,true,false,false,true,false,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,3096112,bytes,106878
false,false,false,false,true,true,false,true,true,true,false,false,false,false,false,false,true,true,false,true,false,false,false,true,false,false,false,false,false,true,false,952888,bytes,35211
false,true,true,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,false,false,false,true,false,1877880,bytes,61885
true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,true,true,true,false,false,true,false,false,false,false,true,false,1742000,bytes,56739
true,true,true,true,true,true,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,false,false,true,false,false,false,839472,bytes,32350
true,true,true,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,2848152,bytes,89216
true,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,true,true,false,true,true,false,false,false,false,true,false,false,false,false,true,2441584,bytes,81663
false,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,true,false,false,1352912,bytes,46252
true,false,false,true,true,false,true,false,false,false,false,true,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,2239512,bytes,77718
true,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,true,false,false,false,false,true,10180456,bytes,82732
true,false,false,false,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false,true,false,false,false,false,3096112,bytes,106878
true,false,true,true,true,true,true,false,true,false,true,false,false,false,false,false,true,false,true,true,true,true,false,true,false,false,false,false,false,true,false,1347608,bytes,42914
true,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,true,true,false,false,false,false,2188512,bytes,71077
false,false,false,false,true,false,true,false,false,false,true,true,false,false,true,false,false,false,true,true,true,false,false,true,false,false,false,true,false,false,false,1625096,bytes,54595
true,true,true,true,true,false,false,true,true,true,true,true,false,false,true,false,false,true,false,true,false,true,true,true,false,false,false,false,false,true,false,3096112,bytes,106878
true,false,false,true,false,true,true,false,false,true,false,true,false,false,true,false,false,true,true,false,true,true,false,false,false,true,false,true,false,false,false,1515152,bytes,56814
false,true,true,true,true,true,true,false,true,false,true,false,false,false,false,false,true,true,false,true,true,true,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
true,true,true,true,false,false,false,false,false,true,true,false,false,false,false,false,false,true,true,true,false,false,false,true,false,false,false,true,false,false,false,1638392,bytes,62523
false,false,false,true,true,false,false,false,false,false,true,true,false,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,true,false,false,3096112,bytes,106878
false,false,true,true,false,true,false,true,false,true,true,true,false,false,false,false,false,true,true,false,true,true,false,false,false,false,false,false,true,false,false,1126552,bytes,45503
true,false,true,true,false,true,false,false,false,true,true,false,false,false,true,false,false,true,false,true,false,true,true,false,false,false,false,false,false,true,false,3096112,bytes,106878
true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true,false,true,false,false,false,true,false,false,false,false,true,false,4790216,bytes,44446
true,false,false,false,false,true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,true,false,false,false,true,false,3096112,bytes,106878
true,false,false,true,false,true,true,false,true,false,false,true,false,false,false,false,true,true,false,true,true,true,false,true,false,false,false,false,false,false,true,1037368,bytes,35642
true,false,true,true,true,false,false,false,true,false,true,false,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,2054216,bytes,68420
false,false,true,true,false,false,false,true,false,true,true,false,false,false,false,false,true,false,true,true,true,true,false,true,false,false,false,false,true,false,false,1532024,bytes,54772
false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,true,false,false,false,false,false,true,5764200,bytes,55489
true,false,false,true,false,true,false,true,true,false,true,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,true,5583496,bytes,38687
false,false,false,false,false,true,false,true,false,false,true,true,false,false,true,false,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,3096112,bytes,106878
