--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
true,true,true,true,true,true,false,false,true,true,false,true,false,false,true,false,false,false,false,false,true,true,false,false,true,false,true,false,false,false,false,829144,bytes,28664
false,false,false,true,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,true,true,true,false,false,true,false,false,true,false,false,false,1499808,bytes,48211
true,true,true,true,false,true,false,false,true,true,true,true,false,false,true,false,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,1464456,bytes,49437
true,false,false,true,false,false,true,false,true,false,true,true,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,false,false,true,false,3096112,bytes,106878
true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,true,false,false,false,3096112,bytes,106878
false,true,true,true,true,false,false,false,true,false,false,true,false,false,false,false,true,true,false,true,true,true,false,false,false,true,false,false,false,false,true,2344048,bytes,77824
true,false,true,true,false,false,true,false,true,true,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,true,false,false,false,false,3096112,bytes,106878
false,true,true,true,false,true,true,false,false,false,true,false,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,true,false,false,false,1189080,bytes,42985
false,false,false,true,true,false,true,false,false,false,true,true,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,2595288,bytes,91585
true,false,true,false,false,true,true,false,true,false,true,false,false,false,true,false,false,true,true,false,false,true,false,false,false,true,false,true,false,false,false,2215920,bytes,71778
false,false,true,false,false,false,false,false,false,true,false,true,false,false,true,false,false,true,true,false,true,true,false,true,false,false,false,false,true,false,false,1347376,bytes,49821
